Type,Algorithm,Best Use Case,Key Fundamentals to Know,Libraries,Real-World Example,Hyperparameters to Tune,Speed (Training/Prediction),Deployment Strategy,Complexity (Low/Med/High),Evaluation Metric(s),Higher or Lower,What It Evaluates,Evaluation Metrics
Graph ML,Graph Autoencoders,"Graph embedding, reconstruction",Encoder-decoder on graphs,pytorch-geometric,"Graph compression, link prediction","embedding_dim, learning_rate",Medium / Fast,Custom,Medium,Reconstruction Error,Error (Lower-is-Better),How well the graph is encoded,Error(Lower-is-Better) - Embedding quality
Graph ML,DeepWalk,Unsupervised node embedding,Random walks + Word2Vec,"stellargraph, gensim",Community detection,"walk_length, window_size",Fast / Fast,Custom pipeline,Medium,Embedding Similarity,Similarity (Higher-is-Better),Closeness in embedding space,Similarity (Higher-is-Better) -  Proximity in learned space
Graph ML,Node2Vec / Edge2Vec,Biased random walks for embedding,Flexible walk sampling strategy,"stellargraph, nodevectors",Graph recommendation,"p, q, dimensions",Fast / Fast,"Flask, Custom",Medium,Link Prediction Accuracy,Accuracy (Higher-is-Better),Link prediction via embeddings,Accuracy (Higher-is-Better) -  True edge prediction
Graph ML,"Knowledge Graph Embeddings (TransE, TransR)",Triple representation in low-dim space,Translation-based embedding,"ampligraph, openKE",Knowledge base completion,"embedding_dim, margin",Medium / Medium,"API, Custom",High,"MRR, Hits@K","MRR (Higher-is-Better), Hits@K (Higher-is-Better)",Entity and relation prediction,"MRR (Higher-is-Better) -  Rank avg.
Hits@K (Higher-is-Better) -  Top-K inclusion"
Probabilistic / Bayesian,Bayesian Networks,Probabilistic reasoning,"Directed acyclic graphs, conditional probabilities","pgmpy, pomegranate","Medical diagnosis, Fraud detection","structure_type, prior_type",Medium / Medium,"Custom, Flask",Medium,"Log-Likelihood, Accuracy","Log-Likelihood (Higher-is-Better), Accuracy (Higher-is-Better)",Joint probability modeling,"Log-Likelihood (Higher-is-Better) -  Model fit
Accuracy (Higher-is-Better) -  Prediction performance"
Probabilistic / Bayesian,Hidden Markov Models (HMM),Sequential probabilistic modeling,State transition + emission probabilities,"hmmlearn, pomegranate","Speech recognition, POS tagging","n_components, covariance_type",Medium / Medium,"Flask, Pickle",Medium,Log-Likelihood,Log-Likelihood (Higher-is-Better),Likelihood of observed sequences,Log-Likelihood (Higher-is-Better) -  Sequence plausibility
Probabilistic / Bayesian,Markov Decision Processes (MDP),Planning with decision uncertainty,"States, actions, rewards, transitions",pymdptoolbox,Robot path planning,"gamma, policy_eval_method",Medium / Medium,Custom,Medium,Cumulative Reward,Reward (Higher-is-Better),Expected return with policy,Reward (Higher-is-Better) -  Optimal policy evaluation
Probabilistic / Bayesian,Gaussian Processes (GP),Non-parametric regression/classification,Bayesian inference over functions,"GPy, scikit-learn",Time-series prediction,"kernel, alpha",Slow / Medium,"ONNX, Flask",High,"Log-Marginal Likelihood, RMSE","Likelihood (Higher-is-Better), RMSE (Lower-is-Better)",Uncertainty-aware predictions,"Log-Marginal Likelihood (Higher-is-Better) -  Fit
RMSE(Lower-is-Better) - Prediction error"
Probabilistic / Bayesian,Probabilistic Graphical Models,Flexible probabilistic inference,Graph-based probability distributions,"pgmpy, pyro",Causal inference,"graph_structure, inference_method",Medium / Medium,Custom,High,"Log-Likelihood, Accuracy","Log-Likelihood (Higher-is-Better), Accuracy (Higher-is-Better)",Joint inference over variables,"Log-Likelihood (Higher-is-Better) -  Data fit
Accuracy (Higher-is-Better) -  Output confidence"
Ensemble,"Bagging (e.g., Random Forest)",Reduce variance through averaging,"Bootstrap sampling, parallel trees",sklearn.ensemble,"Credit scoring, Churn prediction","n_estimators, max_features",Medium / Fast,"Flask, Docker",Medium,"Accuracy, AUC","Accuracy (Higher-is-Better), AUC (Higher-is-Better)",Improved stability and reduced overfitting,"Accuracy (Higher-is-Better) -  Majority vote accuracy
AUC (Higher-is-Better) -  Class separability"
Ensemble,"Boosting (e.g., AdaBoost, XGBoost)",Reduce bias through sequential correction,"Weighted voting, Residual fitting","xgboost, lightgbm, catboost","Fraud detection, Click prediction","learning_rate, n_estimators",Slow / Fast,"MLflow, Docker",High,"Accuracy, LogLoss, AUC","Accuracy (Higher-is-Better), LogLoss (Lower-is-Better), AUC (Higher-is-Better)",Accurate and interpretable boosting,"Accuracy (Higher-is-Better) -  Overall prediction
LogLoss(Lower-is-Better) - Confidence calibration
AUC (Higher-is-Better) -  ROC performance"
Ensemble,Stacking (Stacked Generalization),Meta-model learning over base learners,Blend diverse models using a meta-learner,"sklearn.ensemble, mlxtend",Complex tabular data,"base_models, final_estimator",Slow / Medium,"Custom, Docker",High,"Accuracy, AUC","Accuracy (Higher-is-Better), AUC (Higher-is-Better)",Combines strengths of multiple models,"Accuracy (Higher-is-Better) -  Combined model accuracy
AUC (Higher-is-Better) -  Aggregate separability"
Ensemble,Voting Classifier/Regressor,Majority (classification) / Mean (regression),Hard or soft voting over models,sklearn.ensemble,General purpose ensembling,"voting, weights",Fast / Fast,"Flask, Pickle",Medium,"Accuracy, R2","Accuracy (Higher-is-Better), R2 (Higher-is-Better)",Simple model averaging,"Accuracy (Higher-is-Better) -  Voting correctness
R2 (Higher-is-Better) -  Explained variance"
Ensemble,Blending,Holdout blending of predictions,Validation set-based meta-learner,"mlxtend, custom code","Competitions, Kaggle","blend_ratio, holdout_split",Medium / Medium,Custom,Medium,"Accuracy, AUC","Accuracy (Higher-is-Better), AUC (Higher-is-Better)",Heuristic model stacking,"Accuracy (Higher-is-Better) -  Final prediction quality
AUC (Higher-is-Better) -  Class separability"
Explainability Techniques,SHAP,Global + local feature attribution,"Game theory, model-agnostic",shap,"Finance, healthcare","explainer_type, background_data",Medium / Medium,"Streamlit, Jupyter",Medium,SHAP Value Magnitude,Magnitude(Higher-is-Better),Contribution of features to prediction,SHAP (Higher-is-Better) - Impact of each feature on prediction
Explainability Techniques,LIME,Local surrogate explanations,Linear approximation around prediction,lime,"Model debugging, Trust building","kernel_width, num_features",Medium / Medium,Not production-ready,Medium,Feature Weights,Magnitude(Higher-is-Better),Feature influence on specific prediction,LIME (Higher-is-Better) - Local feature importance
Explainability Techniques,Integrated Gradients,Attribution in neural networks,Path integral of gradients,"captum, tensorflow","Vision, NLP","steps, baseline",Slow / Medium,"TensorBoard, Captum",High,Attribution Score,Magnitude(Higher-is-Better),Importance of input features,Attribution (Higher-is-Better) - Influence of input on output
Explainability Techniques,Permutation Importance,Global importance measure,Randomly permute each feature,sklearn.inspection,Any tabular model,n_repeats,Fast / Fast,"Jupyter, Streamlit",Low,Importance Score,Score(Higher-is-Better),Effect of shuffling features on accuracy,Importance Score (Higher-is-Better) - Impact of permuted features
Explainability Techniques,PDP,Visualizing feature impact,Marginal effect of features,sklearn.inspection,Tabular feature analysis,grid_resolution,Fast / Medium,"Streamlit, Jupyter",Medium,PDP Curve,Qualitative,Effect of one or two features on prediction,PDP - Response surface visualization
